# mechanism,air_plasma
# version,1
# mechanism-hash,23a06d772827b718
# T_gas_K,300
# T_exc_K,300
# grid_points,200  (eps_max sized per E/N)
# pressure_atm,0.98692  (0 = density-scaled processes excluded)
# composition,N2=0.79 O2=0.21 
# NOTE rate coefficients are valid only for this composition and T_gas;
#      the EEDF is a functional of the whole mixture.
EN_Td,converged,meanEnergy_eV,muN,DLN,DTN,muEpsN,DEpsN,alphaN,etaN,nuEffN,driftVel,nuIonN,nuAttN,PelasticN,PgasN,PvibN,PelecN,PinelasticN,k[EI_N2_EFF]{m^3/s},k[EI_N2_EXC_N2_ROT]{m^3/s},k[EI_N2_EXC_N2_V1]{m^3/s},k[EI_N2_EXC_N2_V1RES]{m^3/s},k[EI_N2_EXC_N2_V2]{m^3/s},k[EI_N2_EXC_N2_V3]{m^3/s},k[EI_N2_EXC_N2_V4]{m^3/s},k[EI_N2_EXC_N2_V5]{m^3/s},k[EI_N2_EXC_N2_V6]{m^3/s},k[EI_N2_EXC_N2_V7]{m^3/s},k[EI_N2_EXC_N2_V8]{m^3/s},k[EI_N2_EXC_N2_A3_V0_4]{m^3/s},k[EI_N2_EXC_N2_A3_V5_9]{m^3/s},k[EI_N2_EXC_N2_B3]{m^3/s},k[EI_N2_EXC_N2_W3]{m^3/s},k[EI_N2_EXC_N2_A3_V10]{m^3/s},k[EI_N2_EXC_N2_B_P3]{m^3/s},k[EI_N2_EXC_N2_A_P1]{m^3/s},k[EI_N2_EXC_N2_A1]{m^3/s},k[EI_N2_EXC_N2_W1]{m^3/s},k[EI_N2_EXC_N2_C3]{m^3/s},k[EI_N2_EXC_N2_E3]{m^3/s},k[EI_N2_EXC_N2_A_PP1]{m^3/s},k[EI_N2_EXC_N2_SUM]{m^3/s},k[EI_N2_ION_N2]{m^3/s},k[EI_N2_ION_N2_B2SIGMA]{m^3/s},k[EI_O2_ATT]{m^6/s},k[EI_O2_ATT_O_O]{m^3/s},k[EI_O2_EFF]{m^3/s},k[EI_O2_EXC_O2_ROT]{m^3/s},k[EI_O2_EXC_O2_V1]{m^3/s},k[EI_O2_EXC_O2_V1RES]{m^3/s},k[EI_O2_EXC_O2_V2]{m^3/s},k[EI_O2_EXC_O2_V2RES]{m^3/s},k[EI_O2_EXC_O2_V3]{m^3/s},k[EI_O2_EXC_O2_V4]{m^3/s},k[EI_O2_EXC_O2_A1]{m^3/s},k[EI_O2_EXC_O2_B1]{m^3/s},k[EI_O2_EXC_O2_4_5EV]{m^3/s},k[EI_O2_EXC_O2_6_0EV]{m^3/s},k[EI_O2_EXC_O2_8_4EV]{m^3/s},k[EI_O2_EXC_O2_9_97EV]{m^3/s},k[EI_O2_ION_O2]{m^3/s},k[DEEX_N2_EXC_N2_A3_V0_4]{m^3/s},k[DEEX_N2_EXC_N2_B3]{m^3/s},k[DEEX_N2_EXC_N2_A_P1]{m^3/s},k[DEEX_N2_EXC_N2_C3]{m^3/s},k[DEEX_O2_EXC_O2_A1]{m^3/s},k[DEEX_O2_EXC_O2_B1]{m^3/s}
1.0000000000e-01,1,8.3422134201e-02,1.9401422605e+25,1.1790574609e+24,1.1790574609e+24,2.2022114954e+25,1.2213770171e+24,0.0000000000e+00,1.7984681038e-21,-3.4892839722e-18,1.9401422605e+03,0.0000000000e+00,3.4892839722e-18,2.0669149864e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.0592436284e-19,0.0000000000e+00,3.6440253747e-17,1.4644226189e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.2772056958e-42,0.0000000000e+00,0.0000000000e+00,1.3191742488e-18,5.3315362316e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0510254106e-01,1,8.8462680050e-02,1.8297106578e+25,1.1832368105e+24,1.1832368105e+24,2.0869413565e+25,1.2249247636e+24,0.0000000000e+00,1.8546623863e-21,-3.5666500377e-18,1.9230723953e+03,0.0000000000e+00,3.5666500377e-18,2.3609183617e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.3660102006e-19,0.0000000000e+00,3.7964771008e-17,1.8464295568e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3498694608e-42,0.0000000000e+00,0.0000000000e+00,1.4323794613e-18,6.6444797710e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1046544136e-01,1,9.3491060499e-02,1.7247060800e+25,1.1873494140e+24,1.1873494140e+24,1.9843699439e+25,1.2282977823e+24,0.0000000000e+00,1.9051755941e-21,-3.6297485124e-18,1.9052041836e+03,0.0000000000e+00,3.6297485124e-18,2.6628989131e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.6791783317e-19,0.0000000000e+00,3.9455102362e-17,2.3026126093e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4091328175e-42,0.0000000000e+00,0.0000000000e+00,1.5476976429e-18,8.2084211168e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1610198586e-01,1,9.6777619891e-02,1.7121184964e+25,1.1896355486e+24,1.1896355486e+24,1.9258864816e+25,1.2303665061e+24,0.0000000000e+00,1.8540320923e-21,-3.6854516207e-18,1.9878035747e+03,0.0000000000e+00,3.6854516207e-18,2.8687567380e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.9199988720e-19,0.0000000000e+00,4.0540765434e-17,2.7850337408e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4614502973e-42,0.0000000000e+00,0.0000000000e+00,1.6203618192e-18,9.5687527313e-19,0.0000000000e+00,1.1333084197e-21,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2202613736e-01,1,1.0175997315e-01,1.6083397158e+25,1.1936781222e+24,1.1936781222e+24,1.8401839615e+25,1.2334939765e+24,0.0000000000e+00,1.8993127342e-21,-3.7275813542e-18,1.9625948308e+03,0.0000000000e+00,3.7275813542e-18,3.1813549189e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.2428308644e-19,0.0000000000e+00,4.1964895750e-17,3.3665756108e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5010193905e-42,0.0000000000e+00,0.0000000000e+00,1.7391033841e-18,1.1563215820e-18,0.0000000000e+00,1.0456582667e-21,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2825257111e-01,1,1.0646293907e-01,1.5152131883e+25,1.1974584475e+24,1.1974584475e+24,1.7667046404e+25,1.2363784236e+24,0.0000000000e+00,1.9334125230e-21,-3.7572003083e-18,1.9432998719e+03,0.0000000000e+00,3.7572003083e-18,3.4852679385e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.5619514059e-19,0.0000000000e+00,4.3284177400e-17,4.0244735680e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5288381080e-42,0.0000000000e+00,0.0000000000e+00,1.8543938752e-18,1.3839246165e-18,0.0000000000e+00,9.7772245213e-22,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3479671121e-01,1,1.1133785898e-01,1.4151832905e+25,1.2014077613e+24,1.2014077613e+24,1.6962978858e+25,1.2398087201e+24,0.0000000000e+00,1.9769040381e-21,-3.7711827352e-18,1.9076205331e+03,0.0000000000e+00,3.7711827352e-18,3.8213872557e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.9456822162e-19,0.0000000000e+00,4.4581848090e-17,5.3151057120e-20,6.4526740504e-21,1.0487678289e-22,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5419706846e-42,0.0000000000e+00,0.0000000000e+00,1.9779808908e-18,1.6866007826e-18,0.0000000000e+00,5.9839747814e-21,0.0000000000e+00,1.8432071202e-21,3.7969636476e-22,4.9051156440e-22,1.2707646975e-23,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4167476874e-01,1,1.1494524000e-01,1.3592956751e+25,1.2042009920e+24,1.2042009920e+24,1.6495236685e+25,1.2415189454e+24,0.0000000000e+00,1.9664141780e-21,-3.7868791377e-18,1.9257790043e+03,0.0000000000e+00,3.7868791377e-18,4.0582487390e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.1910491025e-19,0.0000000000e+00,4.5598882572e-17,5.5851432829e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5567130616e-42,0.0000000000e+00,0.0000000000e+00,2.0721175095e-18,1.9316289646e-18,0.0000000000e+00,9.0367327639e-22,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4890378198e-01,1,1.1873395973e-01,1.2948605659e+25,1.2071851785e+24,1.2071851785e+24,1.6026576963e+25,1.2438333831e+24,0.0000000000e+00,1.9659575196e-21,-3.7905555256e-18,1.9280963540e+03,0.0000000000e+00,3.7905555256e-18,4.3261835523e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.5047736220e-19,0.0000000000e+00,4.6603718936e-17,6.4990111773e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5601659991e-42,0.0000000000e+00,0.0000000000e+00,2.1744653827e-18,2.2567649374e-18,0.0000000000e+00,8.9840591802e-22,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.5650165859e-01,1,1.2224734874e-01,1.2381401218e+25,1.2099393898e+24,1.2099393898e+24,1.5618326925e+25,1.2460152454e+24,0.0000000000e+00,1.9552847411e-21,-3.7887744563e-18,1.9377098264e+03,0.0000000000e+00,3.7887744563e-18,4.5824102665e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.8215442752e-19,0.0000000000e+00,4.7518002825e-17,7.5113868474e-20,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5584931829e-42,0.0000000000e+00,0.0000000000e+00,2.2729271558e-18,2.6201015733e-18,0.0000000000e+00,9.1539835438e-22,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
